1,"Thursday, January 25, 2024",2,Quotation_IT2024_001.pdf,PO_IT2024_001.pdf,Costing_IT2024_001.xlsx,KES,13920,0,13920,Invoiced,4,APDI SSD 512 Hard Drive with Installation Charges,1
2,"Monday, February 12, 2024",32,Quotation_IT2024_002.pdf,PO_IT2024_002.pdf,Costing_IT2024_002.xlsx,USD,2649.48,0,2649.48,Oder Placement,2,"MATER RED HART ENTERPRICE SERVER,STANDARD",2
3,"Friday, February 16, 2024",9,Quotation_IT2024_003.pdf,PO_IT2024_003.pdf,Costing_IT2024_003.xlsx,KES,105237.04,0,105237.04,Oder Placement,2,Britam INFRA IBM Server Hard Drives,1
4,"Friday, February 23, 2024",37,Quotation_IT2024_004.pdf,PO_IT2024_004.pdf,Costing_IT2024_004.xlsx,KES,5527758.93,0,5527758.93,Oder Placement,2,SOUTHERN STAR SACCO SERVER SUPPLY,2
5,"Friday, March 1, 2024",36,Quotation_IT2024_005.pdf,PO_IT2024_005.pdf,Costing_IT2024_005.xlsx,KES,13717,0,13717,Invoiced,4,PAWA IT LENOVO KEYBOARD REPLACEMENT,7
6,"Monday, March 4, 2024",16,Quotation_IT2024_006.pdf,PO_IT2024_006.pdf,Costing_IT2024_006.xlsx,USD,243.6,0,243.6,Oder Placement,5,ESP SDWAN INSTALLATION,7
7,"Wednesday, March 27, 2024",29,Quotation_IT2024_007.pdf,PO_IT2024_007.pdf,Costing_IT2024_007.xlsx,KES,378862.96,0,378862.96,Oder Placement,2,KWAL SAGE LICENSE RENEWAL 2024,9
8,"Thursday, March 28, 2024",32,Quotation_IT2024_008.pdf,PO_IT2024_008.pdf,Costing_IT2024_008.xlsx,USD,29294.26,0,29294.26,Oder Placement,2,MATER SUPPLY & CONFG OF ADDITIONAL NODE,2
9,"Thursday, April 4, 2024",6,Quotation_IT2024_009.pdf,PO_IT2024_009.pdf,Costing_IT2024_009.xlsx,KES,77952,0,77952,Oder Placement,5,BIDCO SAS HDD REPLACEMENT,7
10,"Monday, April 22, 2024",28,Quotation_IT2024_010.pdf,PO_IT2024_010.pdf,Costing_IT2024_010.xlsx,USD,41625,0,41625,Oder Placement,2,KRA HCL ADDITIONAL LICENSES,9
11,"Thursday, April 25, 2024",18,Quotation_IT2024_011.pdf,PO_IT2024_011.pdf,Costing_IT2024_011.xlsx,KES,19488,0,19488,Paid,4,FAIRTRADE DESKTOP MAT AND LAPTOP STAND,1
12,"Tuesday, May 7, 2024",9,Quotation_IT2024_012.pdf,PO_IT2024_012.pdf,Costing_IT2024_012.xlsx,KES,165917.72,0,165917.72,Oder Placement,2,BRITAM FLASH DRIVE AND SAS FLASH,9
13,"Thursday, May 23, 2024",25,Quotation_IT2024_013.pdf,PO_IT2024_013.pdf,Costing_IT2024_013.xlsx,KES,8327856.22,0,8327856.22,Oder Placement,2,KQSUPPLY & INSTALLATION OF STRUCTURED CABLING,9
14,"Thursday, May 23, 2024",10,Quotation_IT2024_014.pdf,PO_IT2024_014.pdf,Costing_IT2024_014.xlsx,KES,2672640,0,2672640,Oder Placement,5,CBK SUPPLY OF IBM TAPE MEDIA LIBRARIES WITH LABELS,1
